repetition,window_seconds,schedule,schedule_transitions,processed_transitions,observed_action_sequence,predicted_action_sequence,matches_prediction,observed_suppressed_count,predicted_suppressed_count,observed_repair_count,predicted_repair_count,observed_recovered_count,predicted_recovered_count,spurious_recovered_count,repair_action_us,bfs_us
1,0.5,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,False,7,5,1,1,2,2,0,439080.858,19.25
2,0.5,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,False,7,5,1,1,2,2,0,432991.233,14.834
3,0.5,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered,False,7,5,1,1,2,2,0,440601.531,14.961
1,0.5,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered;recovered,False,11,7,1,1,5,5,0,431419.448,14.543
2,0.5,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered;recovered,False,11,7,1,1,5,5,0,433017.208,8.085
3,0.5,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered;recovered;recovered;recovered;recovered,False,13,7,1,1,4,5,0,435802.268,14.377
1,2.0,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,True,9,9,1,1,1,1,0,427292.214,36.38
2,2.0,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,True,9,9,1,1,1,1,0,449039.791,14.835
3,2.0,baseline_7,7,7,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;recovered,True,9,9,1,1,1,1,0,417996.262,10.21
1,2.0,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,False,28,27,1,1,0,0,0,499227.683,6.626
2,2.0,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,False,28,27,1,1,0,0,0,436480.196,14.919
3,2.0,burst_15,15,15,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,repair;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed;suppressed,False,28,27,1,1,0,0,0,435827.531,6.543
