PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1.61 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.538 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.456 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.517 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.625 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.353 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.490 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.492 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.629 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.525 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1.09 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.538 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.341 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.312 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.324 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=0.381 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=0.853 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.599 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.499 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.521 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.519 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=0.376 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=0.575 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.584 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.503 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.386 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.586 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.692 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.681 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.654 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.825 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.863 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=0.705 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.926 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.598 ms
