PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.992 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.654 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.663 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.642 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1.76 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1.49 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1.17 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1.11 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=2.45 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.913 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.860 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.605 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=0.299 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=0.339 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=0.816 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=0.513 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=4.07 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1.82 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=0.630 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=0.593 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=0.626 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=0.636 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=0.737 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.799 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.550 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.511 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.968 ms
