PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1.18 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.377 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.298 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.432 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.341 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.290 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.342 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.583 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.553 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=4.30 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=2.76 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1.28 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.877 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.540 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.586 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.416 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.821 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.625 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.524 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.377 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.550 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=0.569 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.537 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=0.401 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=0.279 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.305 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=0.434 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.355 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.313 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.339 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.359 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=0.262 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=0.295 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=0.402 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.304 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.427 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.585 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.319 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.387 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.340 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.340 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.332 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.414 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.323 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.318 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=0.475 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.434 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.646 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=0.580 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=0.449 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.403 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=0.469 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.883 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=1.67 ms
