PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=4.54 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.447 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.474 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.529 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.617 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.536 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.577 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.573 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.310 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.368 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.316 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.337 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.427 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.471 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.382 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.339 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.271 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.505 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.765 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=2.06 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.539 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=0.555 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=0.525 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=1.07 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.578 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.312 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.474 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.775 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.649 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.643 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=0.661 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=0.655 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=0.853 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=0.449 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.283 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.605 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.365 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.331 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.533 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.406 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.456 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.478 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.650 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=0.635 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.649 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.557 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.703 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=0.980 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=0.829 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=0.681 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.701 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=1.26 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=2.44 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1.85 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=1.18 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=0.744 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=1.11 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.701 ms
