mechanism,repetition,fault_ns,forward_recovered,forward_outage_ms,reverse_recovered,reverse_outage_ms,cp_detection_ns,cp_bfs_ns,cp_stage_ns,cp_commit_ns,cp_total_control_plane_ns
agent,1,226272059746082,True,243.069,True,298.669,226272066638969,14918,282704909,100819825,383525484
agent,2,226283558984371,True,265.731,True,319.129,226283566686677,8626,296742447,103393331,400136486
agent,3,226294577686340,True,285.566,True,343.933,226294585181300,8584,324725099,110302495,435028302
controller_driven,1,226324369766236,True,20.241,True,20.516,226324376595073,,,,3918593
controller_driven,2,226345765612229,True,58.243,True,30.625,226345788650753,,,,2860784
controller_driven,3,226366657167335,True,15.547,True,25.34,226366665366579,,,,
fast_failover,1,226377706109946,True,15.696,False,,,,,,
fast_failover,2,226400243145516,True,15.553,False,,,,,,
fast_failover,3,226422897050215,True,38.433,False,,,,,,
fast_failover,1,226446322246318,True,15.431,False,,,,,,
fast_failover,2,226469142265631,True,15.562,False,,,,,,
fast_failover,3,226491740104336,True,15.693,False,,,,,,
controller_driven,4,227238795044023,True,52.356,True,31.354,227238809317168,,,,2434083
controller_driven,5,227260080245107,True,47.938,True,43.969,227260092570819,,,,2223447
controller_driven,6,227280957552798,True,15.976,True,20.191,227280965754758,,,,
controller_driven,7,227301720497912,True,48.001,True,20.48,227301731676190,,,,1983184
controller_driven,8,227322748905700,True,20.138,True,15.973,227322754733163,,,,
controller_driven,9,227343265382029,True,25.225,True,25.574,227343273156383,,,,
controller_driven,10,227364366223173,True,20.536,True,30.366,227364373920564,,,,4163629
controller_driven,11,227385158067456,True,15.828,True,15.422,227385164706711,,,,4700072
controller_driven,12,227405995288221,True,20.274,True,20.559,227406003682147,,,,2477293
controller_driven,13,227427190074250,True,20.129,True,15.351,227427197238906,,,,3329419
controller_driven,14,227448049428419,True,20.388,True,25.328,227448059993038,,,,2510003
controller_driven,15,227469077164334,True,31.464,True,31.246,227469096757853,,,,3473927
controller_driven,16,227489764230779,True,25.676,True,26.281,227489772813111,,,,4073977
controller_driven,17,227510498331203,True,16.171,True,15.388,227510507108800,,,,3201728
controller_driven,18,227532123572969,True,15.379,True,25.378,227532131227944,,,,3467901
controller_driven,19,227553409769425,True,15.562,True,16.26,227553417188951,,,,4933503
controller_driven,20,227575147142639,True,25.58,True,21.006,227575154766844,,,,
controller_driven,21,227596325176112,True,20.681,True,20.1,227596334771350,,,,2204068
controller_driven,22,227617748214382,True,25.205,True,21.442,227617756632617,,,,1277934
controller_driven,23,227638733461018,True,15.561,True,20.112,227638740774623,,,,1065348
controller_driven,24,227659126933595,True,20.137,True,14.934,227659134033745,,,,1094642
controller_driven,25,227679374072799,True,16.682,True,16.624,227679382301517,,,,1318605
controller_driven,26,227699681290514,True,20.132,True,15.455,227699687787085,,,,2115787
controller_driven,27,227720070143766,True,15.415,True,15.108,227720076282212,,,,3468730
controller_driven,28,227740640630393,True,15.386,True,21.846,227740648242916,,,,2234751
controller_driven,29,227761437413355,True,15.615,True,15.322,227761442785589,,,,
controller_driven,30,227782209119653,True,20.757,True,15.542,227782216037425,,,,1935707
controller_driven,31,227802381938423,True,20.099,True,15.745,227802390258564,,,,1310195
controller_driven,32,227822669351233,True,20.588,True,20.463,227822675230825,,,,
controller_driven,33,227843497189912,True,20.11,True,15.378,227843502274991,,,,3325787
controller_driven,34,227864420295652,True,15.516,True,15.488,227864425545655,,,,3166202
controller_driven,35,227884874109785,True,15.508,True,15.108,227884880548821,,,,2321600
controller_driven,36,227905064101989,True,20.513,True,20.474,227905071453719,,,,
controller_driven,37,227925888290605,True,15.429,True,15.178,227925893972214,,,,2171265
controller_driven,38,227946438477652,True,21.2,True,20.744,227946443938091,,,,2260353
controller_driven,39,227966944914653,True,15.485,True,15.151,227966949806121,,,,
controller_driven,40,227987331815215,True,20.153,True,20.573,227987338723160,,,,1691339
controller_driven,41,228007772247645,True,20.487,True,16.61,228007778976130,,,,1177159
controller_driven,42,228028351260803,True,15.148,True,15.93,228028356289409,,,,2346652
controller_driven,43,228049004368222,True,20.083,True,15.606,228049009192575,,,,
controller_driven,44,228069755362595,True,20.116,False,,228069760311704,,,,
controller_driven,45,228090236217444,True,15.984,True,20.127,228090242457929,,,,2331113
controller_driven,46,228110872299192,True,15.682,True,20.15,228110878637432,,,,1642093
controller_driven,47,228131625780216,True,15.709,True,20.736,228131632510096,,,,1432379
controller_driven,48,228151960404945,True,15.505,True,15.636,228151965456441,,,,
controller_driven,49,228172559102844,True,15.471,True,14.959,228172563425484,,,,2707964
controller_driven,50,228192879100202,True,15.768,True,15.139,228192884993855,,,,3208105
controller_driven,51,228213727121226,True,31.134,True,33.907,228213731397452,,,,
controller_driven,52,228233966065492,True,15.167,True,15.544,228233972383080,,,,1275668
controller_driven,53,228254123614362,True,15.112,True,16.029,228254127982553,,,,
controller_driven,54,228274474349850,True,15.897,True,16.846,228274479618323,,,,
fast_failover,4,228293213728443,True,15.708,False,,,,,,
fast_failover,5,228315321519390,True,15.638,False,,,,,,
fast_failover,6,228337438822927,False,,False,,,,,,
fast_failover,7,228359778740033,True,15.475,False,,,,,,
fast_failover,8,228381871864646,True,15.586,False,,,,,,
fast_failover,9,228403958352302,True,21.03,False,,,,,,
fast_failover,10,228426207342447,True,20.719,False,,,,,,
fast_failover,11,228448528324667,True,15.787,False,,,,,,
fast_failover,12,228470992868080,True,20.677,False,,,,,,
fast_failover,13,228493054097172,True,15.91,False,,,,,,
fast_failover,14,228515177090738,True,21.284,False,,,,,,
fast_failover,15,228537117271263,True,15.436,False,,,,,,
fast_failover,16,228559161112866,False,,False,,,,,,
fast_failover,17,228581408200042,True,15.835,False,,,,,,
fast_failover,18,228603029104713,True,42.715,False,,,,,,
fast_failover,19,228625159109815,True,20.541,False,,,,,,
fast_failover,20,228647373102859,True,15.514,False,,,,,,
fast_failover,21,228669462102649,True,15.364,False,,,,,,
fast_failover,22,228691272404395,True,15.556,False,,,,,,
fast_failover,23,228713295093983,True,15.605,False,,,,,,
fast_failover,9101,262827862114076,True,16.566,False,,,,,,
fast_failover,9102,262845771033010,True,38.453,False,,,,,,
fast_failover,9103,262868427981696,True,21.42,False,,,,,,
fast_failover,9104,262891285166104,True,21.743,False,,,,,,
fast_failover,9105,262913958948741,True,20.58,False,,,,,,
fast_failover,9106,262936378642713,True,15.534,False,,,,,,
fast_failover,9107,262957751183192,True,21.71,False,,,,,,
