topology,switch_count,switch_switch_link_count,monitored_interface_count,repetition,primary_path_hops,failed_edge,recoverable_by_design,repair_succeeded,repair_failed,new_path_hops,flow_mod_message_overhead,failure_to_detection_us,repair_action_us,packet_loss_pct,packets_sent,agent_baseline_rss_kb,agent_after_repair_rss_kb,agent_rss_delta_kb,agent_cpu_seconds_baseline,agent_cpu_seconds_after_repair,agent_cpu_seconds_used,agent_event_count
linear_10,10,9,18,1,9,s2-s3,False,False,True,,18,4610.642,,88.3333,60,16876,16880,4,0.03,0.04,0.010000000000000002,38
ring_8,8,8,16,1,4,s2-s3,True,True,False,4,16,10932.717,295639.323,16.6667,60,16864,16872,8,0.03,0.04,0.010000000000000002,31
ring_8,8,8,16,2,4,s2-s3,True,True,False,4,16,3752.488,287744.981,15.0,60,16844,16852,8,0.02,0.03,0.009999999999999998,31
ring_8,8,8,16,3,4,s2-s3,True,True,False,4,16,6052.246,301361.829,16.6667,60,16844,16852,8,0.02,0.04,0.02,31
ring_20,20,20,40,1,10,s2-s3,True,True,False,10,40,6816.652,705648.892,36.6667,60,16888,16908,20,0.06,0.08,0.020000000000000004,67
ring_20,20,20,40,2,10,s2-s3,True,True,False,10,40,2432.548,694078.647,38.3333,60,16900,16912,12,0.03,0.07,0.04000000000000001,67
ring_20,20,20,40,3,10,s2-s3,True,True,False,10,40,4062.566,743404.403,40.0,60,16900,16912,12,0.03,0.06,0.03,67
fattree_k4,20,32,64,1,4,a0_0-c0_0,True,True,False,4,16,4927.429,266958.875,13.3333,60,16908,16916,8,0.02,0.03,0.009999999999999998,27
fattree_k4,20,32,64,2,4,a0_0-c0_0,True,True,False,4,16,4079.4,267573.368,13.3333,60,16912,16924,12,0.02,0.03,0.009999999999999998,27
fattree_k4,20,32,64,3,4,a0_0-c0_0,True,True,False,4,16,8382.755,268959.56,13.3333,60,16896,16904,8,0.02,0.03,0.009999999999999998,27
